374,1
151,0
699,0
758,1
536,1
391,0
917,1
927,1
871,1
355,1
959,1
933,0
616,1
307,1
81,0
555,0
1010,0
652,1
903,0
425,0
210,1
464,1
42,0
713,1
218,0
483,1
471,1
139,1
867,1
740,1
16,1
975,0
109,0
860,0
952,1
612,0
820,0
918,0
806,0
475,1
201,1
55,0
568,1
551,0
416,1
123,1
231,1
582,1
814,1
138,1
1014,1
381,0
929,0
204,1
247,0
468,1
756,0
142,0
890,0
241,0
179,0
225,1
180,0
631,1
991,0
172,1
745,1
990,1
771,1
147,0
874,0
762,1
389,1
842,0
501,1
298,1
620,0
681,0
30,0
798,0
325,1
543,0
98,0
500,1
135,0
304,1
7,0
672,1
171,0
323,0
586,0
384,0
434,1
202,1
992,1
168,1
1001,1
618,1
491,1
161,1
972,1
796,1
687,0
114,0
610,0
256,1
429,0
331,0
368,1
346,0
445,1
585,1
8,0
267,0
33,0
28,0
121,0
572,1
460,0
341,1
399,1
0,0
432,1
648,1
514,1
205,1
68,1
737,0
260,1
833,0
388,0
191,1
532,0
1016,0
230,0
524,0
182,0
236,0
825,1
1003,1
682,0
774,1
154,0
877,1
728,0
836,1
919,0
6,0
894,0
698,0
319,1
629,0
689,1
653,0
